source,,2.5,5,10
Windbox (Uncontrolled leaving grate),,0.28,0.5,0.83
Controlled by wet ESP,,0.028,0.041,0.05
Controlled by venturi scrubber,,0.209,0.219,0.226
Controlled by cyclone,,0.26,0.32,0.37
Controlled by baghouse,,0.041,0.071,0.104
Sinter discharge breaker and hot screens contolled by baghouse,,0.006,0.01,0.016
Blast furnace Unc. Casthou emissions : Roof monitor,,0.07,0.11,0.15
Frunace whith local evacuation,,0.1,0.13,0.16
Hot metal desulfurization (uncontroled),,0.06,0.1,0.1
Conteolled bag house,,0.0019,0.0028,0.0033
BOF charging at source,,0.07,0.1,0.14
Controlled by baghouse,,0.000066,0.000093,0.0001
BOF tapping at source,,0.17,0.2,0.21
BOF tapping (controlled by baghouse),,0.0002,0.0003,0.0004
Q-Bop melting and refining (controlled by scrubber),,0.016,0.016,0.019
Eletric arc furnace melting and refining carbon steel (uncontrolled),,8.17,10.07,11.02
"Eletric arc furnace - melting, refining, charging, tapping, slagging (Controlled by direct shell evacuation plus charing hood vented to common baghouse for carbon steel)",,0.0159,0.0159,0.0163
Open hearth furnace - Melting and refining (Uncontroled),,6.33,8.33,8.76
Open hearth furnace - Controlled hearth furnaces ( Controlled by ESP),,,,
